rcp_scenario,region,season,year_30yravg,status,percentile,value
8.5,Housatonic,Annual,2055,Projected,50,5.71625387222
8.5,Housatonic,Annual,2055,Projected,75,6.5585559419
8.5,Housatonic,Annual,2055,Projected,90,7.66688609711
8.5,Housatonic,Annual,2075,Projected,10,6.10036602146
8.5,Housatonic,Annual,2075,Projected,25,6.60296536543
8.5,Housatonic,Annual,2075,Projected,50,7.91398679389
8.5,Housatonic,Annual,2075,Projected,75,9.18662837823
8.5,Housatonic,Annual,2075,Projected,90,11.1397479227
8.5,Housatonic,Annual,2090,Projected,10,7.4112381436
8.5,Housatonic,Annual,2090,Projected,25,8.07394135406
8.5,Housatonic,Annual,2090,Projected,50,9.82169420467
8.5,Housatonic,Annual,2090,Projected,75,11.1682575638
8.5,Housatonic,Annual,2090,Projected,90,13.2320640966
N/A,Hudson,Annual,1985,Observed,N/A,43.3360572482
4.5,Hudson,Annual,2035,Projected,10,2.32145352412
4.5,Hudson,Annual,2035,Projected,25,2.63457756288
4.5,Hudson,Annual,2035,Projected,50,3.1225259788
4.5,Hudson,Annual,2035,Projected,75,4.17928605556
4.5,Hudson,Annual,2035,Projected,90,4.62492561595
4.5,Hudson,Annual,2055,Projected,10,3.05729569131
4.5,Hudson,Annual,2055,Projected,25,3.45047961997
4.5,Hudson,Annual,2055,Projected,50,4.49078754139
4.5,Hudson,Annual,2055,Projected,75,5.44997638633
4.5,Hudson,Annual,2055,Projected,90,5.96748268367
